time,OD600
-0.039714059,0.616580311
1.94598888,1.119170984
4.050833995,2.031088083
5.996822875,3.18134715
7.982525814,3.89119171
9.928514694,3.958549223
12.03335981,3.994818653
13.97934869,3.92746114
15.92533757,3.896373057
18.03018268,3.865284974
25.97299444,4.103626943
32.00953137,3.984455959
39.95234313,3.984455959
47.89515488,4.062176166
