biomass,RA,time,yield_factor
0.008,0.0,0.0,1.4
0.0081213054211,0.0,0.1,1.4
0.0082456037199,0.0,0.2,1.4
0.008372979801,0.0,0.3,1.4
0.0085035210843,0.0,0.4,1.4
0.0086373175753,0.0,0.5,1.4
0.0087744619352,0.0,0.6000000000000001,1.4
0.0089150495531,0.0,0.7000000000000001,1.4
0.0090591786192,0.0,0.8,1.4
0.0092069501995,0.0,0.9,1.4
0.0093584683111,0.0,1.0,1.4
0.0095138399996,0.0,1.1,1.4
0.009673175417,0.0,1.2000000000000002,1.4
0.0098365879007,0.0,1.3,1.4
0.0100041940532,0.0,1.4,1.4
0.0101761138234,0.0,1.5,1.4
0.0103524705885,0.0,1.6,1.4
0.010533391236,0.0,1.7000000000000002,1.4
0.0107190062466,0.0,1.8,1.4
0.0109094497786,0.0,1.9,1.4
0.0111048597504999,0.0,2.0,1.4
0.0113053779257,0.0,2.1,1.4
0.0115111499967,0.0,2.2,1.4
0.0117223256683999,0.0,2.3000000000000003,1.4
0.0119390587417,0.0,2.4000000000000004,1.4
0.0121615071966,0.0,2.5,1.4
0.0123898332742,0.0,2.6,1.4
0.0126242035575,0.0,2.7,1.4
0.0128647890510999,0.0,2.8000000000000003,1.4
0.0131117652593,0.0,2.9000000000000004,1.4
0.0133653122617,0.0,3.0,1.4
0.0136256147871999,0.0,3.1,1.4
0.0138928622846,0.0,3.2,1.4
0.0141672489902,0.0,3.3000000000000003,1.4
0.0144489739925,0.0,3.4000000000000004,1.4
0.0147382412912999,0.0,3.5,1.4
0.0150352598543,0.0,3.6,1.4
0.0153402436662,0.0,3.7,1.4
0.0156534117744999,0.0,3.8,1.4
0.0159749883268,0.0,3.9,1.4
0.0163052026029,0.0,4.0,1.4
0.0166442890372,0.0,4.1000000000000005,1.4
0.0169924872349,0.0,4.2,1.4
0.0173500419768,0.0,4.3,1.4
0.0177172032155,0.0,4.4,1.4
0.0180942260589,0.0,4.5,1.4
0.0184813707435,0.0,4.6000000000000005,1.4
0.0188789025933,0.0,4.7,1.4
0.0192870919647,0.0,4.800000000000001,1.4
0.0197062141767999,0.0,4.9,1.4
0.0201365494236,0.0,5.0,1.4
0.0205783826715999,0.0,5.1000000000000005,1.4
0.0210320035332,0.0,5.2,1.4
0.0214977061244,0.0,5.300000000000001,1.4
0.0219757888992,0.0,5.4,1.4
0.02246655446,0.0,5.5,1.4
0.0229703093376,0.0,5.6000000000000005,1.4
0.0234873637591,0.0,5.7,1.4
0.0240180313679,0.0,5.800000000000001,1.4
0.0245626289324,0.0,5.9,1.4
0.0251214760068999,0.0,6.0,1.4
0.0256948945665,0.0,6.1000000000000005,1.4
0.0262832086073,0.0,6.2,1.4
0.0268867437029,0.0,6.300000000000001,1.4
0.027505826525,0.0,6.4,1.4
0.0281407843201,0.0,6.5,1.4
0.0287920260886,2.3140363628e-05,6.6000000000000005,1.4
0.0294599791417,4.7060113905e-05,6.7,1.4
0.0301449733562,7.1783087757e-05,6.800000000000001,1.4
0.030847337438,9.7333820133e-05,6.9,1.4
0.0315673971877999,0.0001237375697,7.0,1.4
0.0323054743598,0.00015102033288,7.1000000000000005,1.4
0.0330618875883,0.00017920885284,7.2,1.4
0.03383694975,0.00020833065326,7.300000000000001,1.4
0.0346309675027,0.00023841404912,7.4,1.4
0.0354442402310999,0.00026948816463,7.5,1.4
0.0362770589253,0.00030158295111,7.6,1.4
0.0371297050029,0.00033472920468,7.7,1.4
0.0380024490557,0.00036895858399,7.800000000000001,1.4
0.0388955495342,0.00040430362756,7.9,1.4
0.0398092513671999,0.000440797771,8.0,1.4
0.0407437845116,0.00047847536386,8.1,1.4
0.0416993624296999,0.00051737168601,8.200000000000001,1.4
0.0426761805156,0.00055752296363,8.3,1.4
0.0436744144394,0.00059896638459,8.4,1.4
0.0446942184368,0.00064174011313,8.5,1.4
0.0457357235418,0.00068588330381,8.6,1.4
0.0467990357574,0.00073143611461,8.700000000000001,1.4
0.0478842341708,0.00077843971898,8.8,1.4
0.0489913690263,0.0008269363168,8.9,1.4
0.0501204597543,0.00087696914416,9.0,1.4
0.0512714929635,0.0009285824817,9.1,1.4
0.0524444204036999,0.00098182166146,9.2,1.4
0.0536391569162,0.0010367330721,9.3,1.4
0.054855578368,0.0010933641622,9.4,1.4
0.0560935195934,0.0011517634419,9.5,1.4
0.0573527723536,0.0012119804817,9.6,1.4
0.0586330833195,0.00127406591,9.7,1.4
0.0599341521000999,0.0013380714071,9.8,1.4
0.0612556293445,0.0014040496973,9.9,1.4
0.0625971149038999,0.0014720545377,10.0,1.4
0.0639581561115,0.0015421407043,10.1,1.4
0.0653382461661,0.0016143639747,10.2,1.4
0.066736822674,0.0016887811075,10.3,1.4
0.0681532663406,0.0017654498181,10.4,1.4
0.0695868998562,0.0018444287513,10.5,1.4
0.0710369870056999,0.0019257774491,10.6,1.4
0.0725027319961,0.0020095563154,10.7,1.4
0.0739832790628,0.0020958265762,10.8,1.4
0.0754777123685,0.0021846502358,10.9,1.4
0.0769850562023,0.0022760900284,11.0,1.4
0.0785042755337,0.0023702093655,11.1,1.4
0.0800342769236999,0.0024670722793,11.2,1.4
0.0815739098158,0.0025667433609,11.3,1.4
0.0831219682459,0.0026692876953,11.4,1.4
0.0846771929586,0.0027747707906,11.5,1.4
0.086238273968,0.0028832585046,11.6,1.4
0.087803853569,0.0029948169664,11.7,1.4
0.0893725297906,0.0031095124944,11.8,1.4
0.0909428603055,0.0032274115108,11.9,1.4
0.0925133667985999,0.0033485804527,12.0,1.4
