biomass,RA,time,yield_factor
0.008,0.0,0.0,0.5
0.0081507406088,0.0,0.1,0.5
0.0083056351385,0.0,0.2,0.5
0.0084648069966,0.0,0.3,0.5
0.0086283833692,0.0,0.4,0.5
0.0087964953298,0.0,0.5,0.5
0.008969277951,0.0,0.6000000000000001,0.5
0.0091468704188,0.0,0.7000000000000001,0.5
0.0093294161482999,0.0,0.8,0.5
0.0095170629023,0.0,0.9,0.5
0.0097099629117,0.0,1.0,0.5
0.009908272998,0.0,1.1,0.5
0.0101121546981,0.0,1.2000000000000002,0.5
0.0103217743904,0.0,1.3,0.5
0.0105373034231999,0.0,1.4,0.5
0.0107589182441,0.0,1.5,0.5
0.0109868005318,0.0,1.6,0.5
0.0112211373286,0.0,1.7000000000000002,0.5
0.0114621211735,0.0,1.8,0.5
0.011709950238,0.0,1.9,0.5
0.0119648284599,0.0,2.0,0.5
0.0122269656803,0.0,2.1,0.5
0.0124965777785,0.0,2.2,0.5
0.012773886808,0.0,2.3000000000000003,0.5
0.0130591211313,0.0,2.4000000000000004,0.5
0.0133525155541999,0.0,2.5,0.5
0.0136543114575,0.0,2.6,0.5
0.0139647569291,0.0,2.7,0.5
0.0142841068909999,0.0,2.8000000000000003,0.5
0.0146126232254,0.0,2.9000000000000004,0.5
0.0149505748961,0.0,3.0,0.5
0.0152982380661,0.0,3.1,0.5
0.0156558962102,0.0,3.2,0.5
0.0160238402216,0.0,3.3000000000000003,0.5
0.016402368512,0.0,3.4000000000000004,0.5
0.0167917871043,0.0,3.5,0.5
0.0171924097169,0.0,3.6,0.5
0.0176045578379,0.0,3.7,0.5
0.0180285607888,0.0,3.8,0.5
0.0184647557764,0.0,3.9,0.5
0.0189134879316,0.0,4.0,0.5
0.0193751103329,0.0,4.1000000000000005,0.5
0.0198499840139,0.0,4.2,0.5
0.0203384779537,0.0,4.3,0.5
0.0208409690463,0.0,4.4,0.5
0.0213578420505,0.0,4.5,0.5
0.0218894895142,0.0,4.6000000000000005,0.5
0.0224363116769,0.0,4.7,0.5
0.0229987163378,0.0,4.800000000000001,0.5
0.0235771187056,0.0,4.9,0.5
0.0241719412009999,0.0,5.0,0.5
0.024783613239,0.0,5.1000000000000005,0.5
0.025412570962,0.0,5.2,0.5
0.02605925694,0.0,5.300000000000001,0.5
0.026724119825,0.0,5.4,0.5
0.027407613954,0.0,5.5,0.5
0.028110198915,0.0,5.6000000000000005,0.5
0.0288323390429999,0.0,5.7,0.5
0.0295745028709999,0.0,5.800000000000001,0.5
0.030337162521,0.0,5.9,0.5
0.031120793022,0.0,6.0,0.5
0.031925871571,0.0,6.1000000000000005,0.5
0.0327528806943,7.9988927669e-06,6.2,0.5
0.0336024890960999,1.6292373809e-05,6.300000000000001,0.5
0.0344751806622,2.4890365871e-05,6.4,0.5
0.0353714378984,3.3803117349e-05,6.5,0.5
0.0362917409275,4.3041211684e-05,6.6000000000000005,0.5
0.0372365653312,5.2615577631e-05,6.7,0.5
0.03820638275,6.2537495302e-05,6.800000000000001,0.5
0.0392016577635,7.2818611468e-05,6.9,0.5
0.0402228468797,8.3470947e-05,7.0,0.5
0.0412703969032,9.4506906794e-05,7.1000000000000005,0.5
0.0423447431842999,0.00010593928975,7.2,0.5
0.0434463077609,0.00011778129876,7.300000000000001,0.5
0.0445754973822,0.00013004655071,7.4,0.5
0.0457327014241999,0.00014274908641,7.5,0.5
0.0469182896674,0.00015590338049,7.6,0.5
0.0481326099788999,0.00016952435113,7.7,0.5
0.0493759858608,0.00018362736969,7.800000000000001,0.5
0.0506487138847999,0.0001982282701,7.9,0.5
0.0519510610138,0.00021334335799,8.0,0.5
0.053283261803,0.00022898941954,8.1,0.5
0.0546455155044,0.00024518372993,8.200000000000001,0.5
0.0560379830631,0.00026194406135,8.3,0.5
0.0574607840199999,0.00027928869051,8.4,0.5
0.0589139933294,0.00029723640558,8.5,0.5
0.0603976381056999,0.00031580651242,8.6,0.5
0.0619116943037,0.00033501884008,8.700000000000001,0.5
0.0634560833633,0.00035489374547,8.8,0.5
0.0650306688205999,0.00037545211704,8.9,0.5
0.0666352529095999,0.00039671537745,9.0,0.5
0.0682695731885,0.00041870548511,9.1,0.5
0.0699332992001,0.00044144493437,9.2,0.5
0.0716260292067,0.00046495675441,9.3,0.5
0.0733472870209,0.00048926450658,9.4,0.5
0.0750965189795,0.0005143922802,9.5,0.5
0.0768730910786,0.00054036468652,9.6,0.5
0.0786762863246,0.00056720685086,9.7,0.5
0.0805053023421999,0.00059494440282,9.8,0.5
0.0823592492647,0.00062360346433,9.9,0.5
0.0842371479816,0.00065321063548,10.0,0.5
0.0861379287684999,0.00068379297808,10.1,0.5
0.0880604303455999,0.00071537799675,10.2,0.5
0.0900033994419,0.00074799361756,10.3,0.5
0.0919654908728,0.00078166816403,10.4,0.5
0.0939452682132,0.00081643033049,10.5,0.5
0.0959412050893,0.00085230915278,10.6,0.5
0.0979516871391,0.00088933397622,10.7,0.5
0.0999750146857,0.00092753442089,10.8,0.5
0.1020094061344999,0.00096694034416,10.9,0.5
0.1040530021524,0.0010075818007,11.0,0.5
0.1061038706149,0.0010494889996,11.1,0.5
0.1081600123457,0.00109269226,11.2,0.5
0.1102193676575,0.0011372219627,11.3,0.5
0.1122798236574,0.0011831085019,11.4,0.5
0.1143392223129,0.0012303822327,11.5,0.5
0.1163953692235999,0.0012790734193,11.6,0.5
0.1184460430690999,0.0013292121795,11.7,0.5
0.1204890056409,0.0013808284305,11.8,0.5
0.1225220123991,0.0014339518318,11.9,0.5
