time,g/L,metabolite
0,-0.00423284,acetate
24.019509099247333,0.7226446609707171,acetate
48.03135018354989,1.6525653509181835,acetate
71.90939223157055,3.6992412403579262,acetate
96.11981925,4.2611357921115935,acetate
119.89395187494699,4.116613380338322,acetate
144.03849656482487,3.9593897320759055,acetate
0,0.016920492161362155,ethanol
24.03155883701773,0.39692518686439193,ethanol
48.164836239629835,0.5442703975065886,ethanol
72.00845046544936,1.0215733558215394,ethanol
96.04752082731106,1.215452636749526,ethanol
120.09378973381484,1.214746257821787,ethanol
144.04710352037526,1.2267329648571028,ethanol
0, 1.0896644808766958,xylose
24.007615851577807, 5.847150467405495,xylose
47.87470359253453, 18.966743680082075,xylose
71.90501050874495, 21.379034238729997,xylose
95.84032793, 24.170359036107914,xylose
119.89849008787351, 22.36606294814309,xylose
143.94992316770728, 21.580380488292583,xylose
0,-0.004230123,butanol
23.950496964744065,0.088128922,butanol
47.99535746033956,0.1254936501968098,butanol
72.03912252522859,0.19246923991453446,butanol
96.08476547132854,0.20868335314816822,butanol
120.03729680738465,0.2418206753851937,butanol
144.0777755801544,0.397628849,butanol
0.00E+00,-3.55E-15,butyrate
24.01262353480708,0.9087700747457577,butyrate
47.902402340396335,2.638186736159862,butyrate
71.80939505708623,3.9022898631363656,butyrate
95.84314475551673,4.239993327435974,butyrate
119.98549858398198,4.141991401738343,butyrate
143.84538778029656,4.179361564,butyrate
