time,g/L,metabolite
0.12325743203683714,1.00112E-05,ethanol
24.158216411298692,0.029252617,ethanol
48.19257472081381,0.12672129424308132,ethanol
72.10463667,0.11501824534355443,ethanol
96.01633821711216,0.1442508396862454,ethanol
120.05093679452597,0.2144290884335991,ethanol
144.2059096,0.6121024942811175,ethanol
167.99459397227912,0.6140346486332184,ethanol
0.12313729808746743,0.013655225576519214,butanol
24.280632905689952,0.12477912872853025,butanol
48.064151528954866,0.7134555028857132,butanol
72.09430515,1.2885066849537221,butanol
96.10055211560896,4.578955535421992,butanol
119.96564169048497,9.902531322424498,butanol
143.9817396396983,12.074072590938892,butanol
167.88419087282324,13.153986695165102,butanol
168.08937965831905,3.8479604759306554,acetone
144.05141733032335,4.159848231,acetone
120.16242109952603,1.5516701121750724,acetone
96.13479029117474,0.6900694274115562,acetone
72.22477061924054,0.46980383127186265,acetone
48.19245458686446,0.14036650865714684,acetone
24.157976143399996,0.056543045,acetone
0.12325743203683359,1.00112E-05,acetone
0.2465148640735464,2.00223E-05,acetate
24.143920471325647,1.653033131942113,acetate
48.17022980623406,2.664731175260412,acetate
72.08121054976307,2.7758350560875336,acetate
96.10559774148183,4.0058565300309805,acetate
119.90701632320042,2.5613959564914808,acetate
144.07135956591605,1.894742638041409,acetate
167.97765508542028,2.5380098810173273,acetate
0.12325743203683359,1.00112E-05,butyrate
24.020783173238268,1.6393779063655955,butyrate
48.157856009450626,4.070188259909795,butyrate
72.07051863,3.990259138939914,butyrate
96.09154206940747,5.602346616477368,butyrate
120.02715027255397,2.9161815424197908,butyrate
144.07772666523178,1.1715462740956095,butyrate
168.1092017599624,1.5965000976088248,butyrate
7.815970093361102e-14,58.03797468,xylose
24.158473954512164, 54.566063319000335,xylose
48.19369038884818, 41.79030805093008,xylose
72.10564930300812, 34.33096204389051,xylose
96.14086573734414, 27.884320699870884,xylose
120.17608217168015, 11.690843912813293,xylose
144.08804108584008, 6.763143475393981,xylose
168.12325752017608,5.063337574,xylose
