inoc_time,inoc_ratio,xylan_conc,butanol
24,0.5,40,1.3043587409
24,0.5,60,2.527132221
24,0.5,80,4.123086681
24,1.0,40,2.2398271384
24,1.0,60,4.3203772128
24,1.0,80,6.9745978511
24,1.33,40,2.710135058
24,1.33,60,5.209775444
24,1.33,80,8.385766621
48,0.5,40,2.8899452954
48,0.5,60,6.6187209864
48,0.5,80,11.075231583
48,1.0,40,3.8654884322
48,1.0,60,7.4372143101
48,1.0,80,9.5499320718
48,1.33,40,4.0779411756
48,1.33,60,7.0579213067
48,1.33,80,8.0128066504
72,0.5,40,3.9456303553
72,0.5,60,6.6595795916
72,0.5,80,7.6692593653
72,1.0,40,3.7220666929
72,1.0,60,4.5713341131
72,1.0,80,4.0828342764
72,1.33,40,3.30914764
72,1.33,60,3.5505446098
72,1.33,80,2.8121029819
