inoc_time,inoc_ratio,xylan_conc,butanol
110,0.5,60,9.8630067336
110,0.5,70,12.061149621
110,1.0,60,11.272481614
110,1.0,70,13.449614211
110,1.5,60,11.338393608
110,1.5,70,13.436000145
110,2.0,60,11.200267777
110,2.0,70,13.237665423
122,0.5,60,9.30635876
122,0.5,70,11.384179207
122,1.0,60,10.935614212
122,1.0,70,13.048796072
122,1.5,60,11.068628943
122,1.5,70,13.096822883
122,2.0,60,10.938416475
122,2.0,70,12.902264597
134,0.5,60,8.549713304
134,0.5,70,10.496623849
134,1.0,60,10.496466306
134,1.0,70,12.553235249
134,1.5,60,10.774061663
134,1.5,70,12.738655383
134,2.0,60,10.681135753
134,2.0,70,12.571259267
146,0.5,60,7.5612586863
146,0.5,70,9.3378387498
146,1.0,60,9.8645036977
146,1.0,70,11.862296304
146,1.5,60,10.393198094
146,1.5,70,12.307877135
146,2.0,60,10.396299415
146,2.0,70,12.220839152
158,0.5,60,6.2656305882
158,0.5,70,7.7968987938
158,1.0,60,8.8571713802
158,1.0,70,10.75752319
158,1.5,60,9.768511081
158,1.5,70,11.646527396
158,2.0,60,9.9890950095
158,2.0,70,11.771731059
160,0.5,60,6.0123095166
160,0.5,70,7.4922696939
160,1.0,60,8.6312748004
160,1.0,70,10.505970441
160,1.5,60,9.6170344853
160,1.5,70,11.487982202
160,2.0,60,9.8917392189
160,2.0,70,11.670715613
172,0.5,60,4.2088856974
172,0.5,70,5.2934849996
172,1.0,60,6.7133497188
172,1.0,70,8.3039323814
172,1.5,60,8.1087031885
172,1.5,70,9.8628986473
172,2.0,60,8.819619635
172,2.0,70,10.569536986
