inoc_time,inoc_ratio,xylan_conc,butanol
24,0.5,40,0.03345873
24,0.5,60,0.03345873
24,0.5,80,0.03345873
24,1,40,0.057001599
24,1,60,0.057001599
24,1,80,0.057001599
24,1.33,40,0.068386707
24,1.33,60,0.068386707
24,1.33,80,0.068386707
48,0.5,40,0.030960794
48,0.5,60,0.030960794
48,0.5,80,0.030960794
48,1,40,0.045293092
48,1,60,0.045293092
48,1,80,0.045293092
48,1.33,40,0.049460289
48,1.33,60,0.049460289
48,1.33,80,0.049460289
72,0.5,40,0.018564489
72,0.5,60,0.018564489
72,0.5,80,0.018564489
72,1,40,0.022487574
72,1,60,0.022487574
72,1,80,0.022487574
72,1.33,40,0.021889341
72,1.33,60,0.021889341
72,1.33,80,0.021889341
