inoc_time,inoc_ratio,xylan_conc,butanol
84,0.5,60,9.8156293599
84,0.5,70,12.436852566
84,0.5,80,15.040860459
84,1.0,60,11.420673514
84,1.0,70,13.961454182
84,1.0,80,16.424141215
84,1.5,60,11.609024289
84,1.5,70,14.043697446
84,1.5,80,16.413279099
84,2.0,60,11.551961822
84,2.0,70,13.921049748
84,2.0,80,16.226915589
96,0.5,60,10.198128539
96,0.5,70,12.567349469
96,0.5,80,14.905809052
96,1.0,60,11.584317369
96,1.0,70,13.857369572
96,1.0,80,16.087719237
96,1.5,60,11.664752614
96,1.5,70,13.84686236
96,1.5,80,16.000755265
96,2.0,60,11.549698465
96,2.0,70,13.668978443
96,2.0,80,15.762137876
108,0.5,60,9.9351923706
108,0.5,70,12.154413648
108,0.5,80,14.363400355
108,1.0,60,11.322061142
108,1.0,70,13.510957674
108,1.0,80,15.657381763
108,1.5,60,11.383401067
108,1.5,70,13.492732373
108,1.5,80,15.565730893
108,2.0,60,11.246221296
108,2.0,70,13.295440973
108,2.0,80,15.30912115
