inoc_time,inoc_ratio,xylan_conc,butanol
24,0.5,40,0.15930001266
24,0.5,60,0.15930001266
24,0.5,80,0.15930001266
24,1.0,40,0.27197537293
24,1.0,60,0.27197537293
24,1.0,80,0.27197537293
24,1.33,40,0.329749189
24,1.33,60,0.329749189
24,1.33,80,0.329749189
48,0.5,40,0.19390254064
48,0.5,60,0.19390254064
48,0.5,80,0.19390254064
48,1.0,40,0.30466502259
48,1.0,60,0.30466502259
48,1.0,80,0.30466502259
48,1.33,40,0.35001653257
48,1.33,60,0.35001653257
48,1.33,80,0.35001653257
72,0.5,40,0.20650833154
72,0.5,60,0.20650833154
72,0.5,80,0.20650833154
72,1.0,40,0.29301962719
72,1.0,60,0.29301962719
72,1.0,80,0.29301962719
72,1.33,40,0.3158528748
72,1.33,60,0.3158528748
72,1.33,80,0.3158528748
