inoc_time,inoc_ratio,xylan_conc,butanol
120,0.5,60,9.4129095403
120,0.5,70,11.510819689
120,0.5,80,13.616301866
120,1.0,60,10.99726074
120,1.0,70,13.120479256
120,1.0,80,15.193999163
120,1.5,60,11.11425118
120,1.5,70,13.153834193
120,1.5,80,15.142964219
120,2.0,60,10.981053493
120,2.0,70,12.95740901
120,2.0,80,14.884845605
132,0.5,60,8.6904806503
132,0.5,70,10.661091686
132,0.5,80,12.658327354
132,1.0,60,10.579790028
132,1.0,70,12.64567044
132,1.0,80,14.658876631
132,1.5,60,10.826855185
132,1.5,70,12.801271477
132,1.5,80,14.713881994
132,2.0,60,10.724772806
132,2.0,70,12.626897881
132,2.0,80,14.467057977
144,0.5,60,7.7448055058
144,0.5,70,9.5539203672
144,0.5,80,11.410628834
144,1.0,60,9.9893602037
144,1.0,70,11.998170477
144,1.0,80,13.961621175
144,1.5,60,10.467313579
144,1.5,70,12.389138418
144,1.5,80,14.237720284
144,2.0,60,10.448152491
144,2.0,70,12.282536118
144,2.0,80,14.040981348
156,0.5,60,6.5072985225
156,0.5,70,8.0864904099
156,0.5,80,9.733401063
156,1.0,60,9.0633616636
156,1.0,70,10.985732833
156,1.0,80,12.89045785
156,1.5,60,9.9025018893
156,1.5,70,11.786708289
156,1.5,80,13.599177738
156,2.0,60,10.074710571
156,2.0,70,11.861957892
156,2.0,80,13.561595183
168,0.5,60,4.8690641872
168,0.5,70,6.1042336645
168,0.5,80,7.4157749239
168,1.0,60,7.4804526246
168,1.0,70,9.1982924959
168,1.0,80,10.947891927
168,1.5,60,8.760992212
168,1.5,70,10.578137892
168,1.5,80,12.360475434
168,2.0,60,9.3102122169
168,2.0,70,11.077650432
168,2.0,80,12.766349144
