inoc_time,inoc_ratio,xylan_conc,butanol
24,1.5,60,5.5954394611
24,1.5,70,7.2026946111
24,1.5,80,9.0151095645
24,1.75,60,6.0921123107
24,1.75,70,7.8510266308
24,1.75,80,9.7854735655
36,1.5,60,7.5326750258
36,1.5,70,9.3390366503
36,1.5,80,10.771988536
36,1.75,60,7.5605087571
36,1.75,70,9.0291750081
36,1.75,80,10.101886281
48,1.5,60,6.7298105783
48,1.5,70,7.2440572736
48,1.5,80,7.2963178107
48,1.75,60,6.2046642874
48,1.75,70,6.4814566924
48,1.75,80,6.3517742702
60,1.5,60,4.7750055367
60,1.5,70,4.55293311
60,1.5,80,4.0471894735
60,1.75,60,4.1836378021
60,1.75,70,3.8364353989
60,1.75,80,3.2953195712
72,1.5,60,3.1332374492
72,1.5,70,2.7784615739
72,1.5,80,2.3549398251
72,1.75,60,2.6263616436
72,1.75,70,2.248529585
72,1.75,80,1.8494791072
