inoc_time,inoc_ratio,xylan_conc,butanol
40,0.75,60,6.5157297749
40,0.75,70,8.750875569
40,0.75,80,11.138657607
40,1.0,60,7.1931391133
40,1.0,70,9.3616605223
40,1.0,80,11.244411515
40,1.25,60,7.5460820499
40,1.25,70,9.3347512514
40,1.25,80,10.632932025
50,0.75,60,7.3478595683
50,0.75,70,9.0771713773
50,0.75,80,10.238831145
50,1.0,60,7.3198426478
50,1.0,70,8.4638675357
50,1.0,80,8.9802683641
50,1.25,60,6.9529350952
50,1.25,70,7.616095742
50,1.25,80,7.7580683598
60,0.75,60,6.7603756423
60,0.75,70,7.4853120069
60,0.75,80,7.7002688189
60,1.0,60,6.1111532963
60,1.0,70,6.3955128506
60,1.0,80,6.2189448919
60,1.25,60,5.4315160206
60,1.25,70,5.4036321388
60,1.25,80,5.0100983231
