inoc_time,inoc_ratio,xylan_conc,butanol
24,2,40,2.4640983746
24,2,60,2.4640983746
24,2,80,2.4640983746
24,1,40,2.0428792294
24,1,60,2.0428792294
24,1,80,2.0428792294
24,0.67,40,1.7503917313
24,0.67,60,1.7503917313
24,0.67,80,1.7503917313
48,2,40,2.0092703593
48,2,60,2.0092703593
48,2,80,2.0092703593
48,1,40,1.6483800592
48,1,60,1.6483800592
48,1,80,1.6483800592
48,0.67,40,1.3936658935
48,0.67,60,1.3936658935
48,0.67,80,1.3936658935
72,2,40,1.4979299315
72,2,60,1.4979299315
72,2,80,1.4979299315
72,1,40,1.1902673458
72,1,60,1.1902673458
72,1,80,1.1902673458
72,0.67,40,0.99641036103
72,0.67,60,0.99641036103
72,0.67,80,0.99641036103
